id_institution_subnet,ratio_active,has_drift,drift_in_test,max_rel_dev,drift_fraction,n_drift_events
145.0,1.0,False,False,0.768878529550321,0.0,0
143.0,0.9931510248647576,True,True,1.321018562561939,0.024343639882872598,2
280.0,1.0,True,True,0.8272018155265839,0.1071020894337188,1
329.0,0.9990818402898407,True,True,1.121984624570585,0.01657650503747084,1
259.0,0.5461809519082833,False,False,0.0,0.0,0
464.0,0.9999503697453967,False,False,0.5737465443924805,0.0,0
238.0,1.0,False,False,0.6084776398817177,0.0,0
300.0,0.9292024418085265,False,False,0.4704810555157915,0.0,0
386.0,0.9999255546180952,False,False,0.5793350437750532,0.0,0
94.0,0.9995781428358728,False,False,1.871942306221649,0.0,0
183.0,0.19028239614869225,False,False,0.0,0.0,0
428.0,0.7079259516601321,False,False,0.0,0.0,0
290.0,0.9993299915628567,False,False,0.9783886803334586,0.0,0
367.0,0.9954836468311082,True,False,0.7977251701634125,0.0005955630552384734,1
407.0,0.8700431783215048,False,False,0.0,0.0,0
362.0,1.0,False,False,0.5580030524189219,0.0,0
35.0,0.9982133108342846,False,False,0.7617044552777524,0.0,0
4.0,0.9992803613082535,False,False,0.6969982933971317,0.0,0
152.0,0.9996029579631743,False,False,0.541086061981253,0.0,0
9.0,0.8380316641024368,False,False,0.0,0.0,0
99.0,0.0,False,False,0.0,0.0,0
90.0,0.16502059655566034,False,False,0.0,0.0,0
306.0,0.9997766638542855,False,False,1.4953946939613112,0.0,0
357.0,0.9917117474812646,True,True,0.8532482821125283,0.02555958112065115,1
54.0,0.9433966946250434,True,False,3.2679048361296665,0.07054940691845749,2
458.0,0.9847635118368158,True,True,0.7958982579299787,0.0048885800784158025,1
0.0,0.9999503697453967,False,False,0.5522790495336971,0.0,0
40.0,1.0,False,False,0.9223056123642579,0.0,0
260.0,0.0,False,False,0.0,0.0,0
375.0,0.9069929028735917,True,True,0.9771591785935697,0.08593478584545139,3
469.0,0.9999007394907936,True,True,0.9561446567637762,0.02784257283239863,2
184.0,0.9999503697453967,False,False,0.550399306206696,0.0,0
65.0,0.986500570747928,True,True,2.369225303077654,0.0511439773686039,2
62.0,0.24959055039952355,False,False,0.0,0.0,0
246.0,0.9999255546180952,False,False,0.5604819922406474,0.0,0
377.0,1.0,False,False,0.7889246794288328,0.0,0
349.0,0.9946151173755521,False,False,0.5533228172888595,0.0,0
240.0,0.5995831058613331,False,False,0.0,0.0,0
269.0,0.7879299220805003,False,False,0.0,0.0,0
356.0,0.9999751848726984,False,False,0.5339145964577988,0.0,0
181.0,1.0,False,False,0.7376725517208416,0.0,0
57.0,0.0,False,False,0.0,0.0,0
536.0,0.9455307955729813,False,False,1.6957482145459928,0.0,0
116.0,1.0,True,True,0.8836576193551824,0.0017618740384138171,1
180.0,0.9994788823266664,True,True,1.0356903903127908,0.007891210481909772,1
468.0,0.9267457442056678,True,True,1.0523013837461948,0.01650205965556603,1
529.0,0.12281006501563353,False,False,0.0,0.0,0
293.0,1.0,True,True,0.8546911459608532,0.04317832150478932,2
28.0,0.9999255546180952,True,True,1.7571720285878178,0.031713732691448705,2
118.0,0.9940691845749169,True,True,2.1384885830348903,0.08583552533624497,2
416.0,0.9969229242146013,False,False,0.4676550264141278,0.0,0
509.0,0.683607126904561,False,False,0.0,0.0,0
84.0,0.28058464439922576,False,False,0.0,0.0,0
52.0,0.9917613777358678,False,False,0.6380943161259824,0.0,0
284.0,1.0,False,False,0.47705037348829094,0.0,0
209.0,0.9835723857263388,True,False,1.7381932013673735,0.047372078018760234,2
364.0,0.8567422700878455,False,False,0.0,0.0,0
533.0,0.7355948186014194,False,False,0.0,0.0,0
134.0,0.9963273611593627,True,False,0.9670243086739377,0.013524244379373666,1
60.0,0.9505434512879051,True,False,2.7433592775978695,0.034641917713037866,1
205.0,0.9999751848726984,False,False,0.5711369988359088,0.0,0
228.0,0.2829420814928781,False,False,0.0,0.0,0
78.0,0.6916968584048836,False,False,0.0,0.0,0
19.0,0.889721574271676,False,False,0.0,0.0,0
372.0,1.0,True,True,0.7334058060498878,0.0018363194203186261,1
288.0,0.6671546975035982,False,False,0.0,0.0,0
421.0,0.1258375105464291,False,False,0.0,0.0,0
117.0,1.0,True,True,2.4408018683062753,0.05553625490098764,2
431.0,0.5239465978460469,False,False,0.0,0.0,0
267.0,0.2054940691845749,False,False,0.0,0.0,0
341.0,0.9782619484837958,True,True,0.9293031979251734,0.02955481661620924,2
539.0,0.9776663854285572,True,False,1.278836872551442,0.01900838751302794,1
444.0,0.9999255546180952,True,True,0.7569257662450627,0.021390639733981837,2
507.0,0.8255744701970321,False,False,0.0,0.0,0
157.0,0.5150131520174699,False,False,0.0,0.0,0
474.0,0.9704451833837907,False,False,0.9830288180947837,0.0,0
25.0,1.0,True,True,1.6692183384938557,0.04355054841431336,2
510.0,0.70805002729664,False,False,0.0,0.0,0
202.0,1.0,False,False,0.6970564754923403,0.0,0
373.0,0.9999007394907936,True,True,0.9540560431127724,0.03747084222542062,3
278.0,0.9996277730904759,False,False,0.4255795499707017,0.0,0
6.0,0.9999503697453967,False,False,0.5918926122010788,0.0,0
369.0,0.5412923718298674,False,False,0.0,0.0,0
417.0,0.9998759243634919,False,False,0.4579287175692681,0.0,0
365.0,0.962678048538389,True,True,2.9463183415144094,0.020745446424140154,2
97.0,0.5081393617549258,False,False,0.0,0.0,0
174.0,0.9994540671993647,True,True,1.9733607448793276,0.04459278376098069,2
225.0,0.39240160802024915,False,False,0.0,0.0,0
376.0,0.9891557893691995,True,True,1.1346922042079617,0.06285671745496055,2
