id_ip,ratio_active,has_drift,drift_in_test,max_rel_dev,drift_fraction,n_drift_events
1559006.0,0.0037222690952404586,False,False,0.0,0.0,0
1610834.0,0.007841580227306567,False,False,0.0,0.0,0
519904.0,0.08409846642513276,False,False,0.0,0.0,0
1780773.0,0.018561715221599086,False,False,0.0,0.0,0
136502.0,0.06826641520671001,False,False,0.0,0.0,0
1786188.0,0.01965358082286962,False,False,0.0,0.0,0
1837076.0,0.018785051367313513,False,False,0.0,0.0,0
635778.0,0.13700431783215047,False,False,0.0,0.0,0
125740.0,0.7533624497493672,False,False,0.0,0.0,0
475413.0,0.004764504441907787,False,False,0.0,0.0,0
54220.0,0.06568564196734329,False,False,0.0,0.0,0
627210.0,0.07087200357337833,False,False,0.0,0.0,0
1528034.0,0.004863764951114199,False,False,0.0,0.0,0
676318.0,0.09352821479974192,False,False,0.0,0.0,0
577065.0,0.03461710258573626,False,False,0.0,0.0,0
702295.0,0.06360117127400863,False,False,0.0,0.0,0
547610.0,0.33170380664052806,False,False,0.0,0.0,0
1729328.0,0.01962876569556802,False,False,0.0,0.0,0
839542.0,0.22174797756712492,False,False,0.0,0.0,0
1814391.0,0.020273959005409698,False,False,0.0,0.0,0
1807236.0,0.018884311876519927,False,False,0.0,0.0,0
176312.0,0.01794133703905901,False,False,0.0,0.0,0
666120.0,0.007916025609211376,False,False,0.0,0.0,0
1530904.0,0.03660231276986451,False,False,0.0,0.0,0
414123.0,0.07732393667179513,False,False,0.0,0.0,0
1595118.0,0.020149883368901684,False,False,0.0,0.0,0
1489667.0,0.003548563204129237,False,False,0.0,0.0,0
319675.0,0.6539034195245421,False,False,0.0,0.0,0
1796080.0,0.019901732095885652,False,False,0.0,0.0,0
290222.0,0.9978410839247606,False,False,1.2251000314096074,0.0,0
1682336.0,0.019330984167948782,False,False,0.0,0.0,0
119651.0,0.7829172663655765,False,False,0.0,0.0,0
606017.0,0.243312323192218,False,False,0.0,0.0,0
1772078.0,0.018809866494615118,False,False,0.0,0.0,0
1196.0,0.642910318129932,False,False,0.0,0.0,0
88152.0,0.07169090277433124,False,False,0.0,0.0,0
50506.0,0.23611593627475308,False,False,0.0,0.0,0
229163.0,0.005459328006352673,False,False,0.0,0.0,0
608891.0,0.02263139609906199,False,False,0.0,0.0,0
769752.0,0.07409797012258673,False,False,0.0,0.0,0
1739300.0,0.018288748821281453,False,False,0.0,0.0,0
211973.0,0.47434115837014246,False,False,0.0,0.0,0
445882.0,0.094148592982282,False,False,0.0,0.0,0
1817512.0,0.018859496749218323,False,False,0.0,0.0,0
335577.0,0.11720184624547124,False,False,0.0,0.0,0
1629734.0,0.15598789021787682,False,False,0.0,0.0,0
1037.0,0.01744503449302695,False,False,0.0,0.0,0
1673776.0,0.0381408506625639,False,False,0.0,0.0,0
1644164.0,0.011563849322547025,False,False,0.0,0.0,0
837876.0,0.07578539877909574,False,False,0.0,0.0,0
256808.0,0.05754628021241749,False,False,0.0,0.0,0
590875.0,0.042309792049233214,False,False,0.0,0.0,0
1797502.0,0.018561715221599086,False,False,0.0,0.0,0
777928.0,0.5624844905454365,False,False,0.0,0.0,0
307400.0,0.49704699985110923,False,False,0.0,0.0,0
527202.0,0.11325624100451635,False,False,0.0,0.0,0
1602557.0,0.01818948831207504,False,False,0.0,0.0,0
1541414.0,0.017246513474614124,False,False,0.0,0.0,0
328914.0,0.24078118020745445,False,False,0.0,0.0,0
1579517.0,0.019455059804456797,False,False,0.0,0.0,0
1804627.0,0.018412824457789467,False,False,0.0,0.0,0
1732661.0,0.01980247158667924,False,False,0.0,0.0,0
1569842.0,0.02412030373715817,False,False,0.0,0.0,0
704540.0,0.06764603702416994,False,False,0.0,0.0,0
302026.0,0.07481760881433322,False,False,0.0,0.0,0
1555981.0,0.2101344979899747,False,False,0.0,0.0,0
291833.0,0.217554221053154,False,False,0.0,0.0,0
1993833.0,0.3582311777259417,False,False,0.0,0.0,0
511124.0,0.5477939351828874,False,False,0.0,0.0,0
617379.0,0.4352077026155144,False,False,0.0,0.0,0
1566743.0,0.027395900540969777,False,False,0.0,0.0,0
782264.0,0.10806987939848131,False,False,0.0,0.0,0
299906.0,0.07938359223782818,False,False,0.0,0.0,0
1710697.0,0.019132463149535955,False,False,0.0,0.0,0
479584.0,0.7920244180852648,False,False,0.0,0.0,0
487813.0,0.010893840885403742,False,False,0.0,0.0,0
23518.0,0.00357337833143084,False,False,0.0,0.0,0
165515.0,0.044667229142885505,False,False,0.0,0.0,0
1561250.0,0.003771899349843665,False,False,0.0,0.0,0
529692.0,0.07020199513623505,False,False,0.0,0.0,0
98094.0,0.09295746687180505,False,False,0.0,0.0,0
1805322.0,0.019182093404139164,False,False,0.0,0.0,0
720439.0,0.18189488312075042,False,False,0.0,0.0,0
589852.0,0.01612983274604199,False,False,0.0,0.0,0
555861.0,0.024988833192714277,False,False,0.0,0.0,0
1779305.0,0.020149883368901684,False,False,0.0,0.0,0
625257.0,0.01282942081492878,False,False,0.0,0.0,0
370378.0,0.08248548315052856,False,False,0.0,0.0,0
7782.0,0.05575959104670207,False,False,0.0,0.0,0
1605.0,0.998684798253015,True,True,1.9518404600881067,0.09623306367561665,2
792059.0,0.688669412874088,False,False,0.0,0.0,0
1718500.0,0.018536900094297485,False,False,0.0,0.0,0
406306.0,0.6864112362896422,False,False,0.0,0.0,0
1610593.0,0.5756116928879845,False,False,0.0,0.0,0
378176.0,0.21231822919251575,False,False,0.0,0.0,0
1799087.0,0.01890912700382153,False,False,0.0,0.0,0
210628.0,0.07839098714576406,False,False,0.0,0.0,0
548514.0,0.0036726388406372523,False,False,0.0,0.0,0
112978.0,0.018239118566678248,False,False,0.0,0.0,0
1800418.0,0.019430244677155192,False,False,0.0,0.0,0
217937.0,0.0949923073105365,False,False,0.0,0.0,0
1998963.0,0.012879051069531987,False,False,0.0,0.0,0
143746.0,0.5314655814184327,False,False,0.0,0.0,0
1789496.0,0.019330984167948782,False,False,0.0,0.0,0
776124.0,0.044195741724155045,False,False,0.0,0.0,0
1792379.0,0.019852101841282447,False,False,0.0,0.0,0
747475.0,0.007742319718100154,False,False,0.0,0.0,0
741902.0,0.05809221301305276,False,False,0.0,0.0,0
1681669.0,0.01970321107747283,False,False,0.0,0.0,0
395063.0,0.13094942677055935,False,False,0.0,0.0,0
423896.0,0.09459526527371086,False,False,0.0,0.0,0
630466.0,0.14171919201945507,False,False,0.0,0.0,0
120.0,0.9912898903171373,True,True,2.998168032315451,0.19765248895726836,6
1753175.0,0.018338379075884658,False,False,0.0,0.0,0
1520617.0,0.020000992605092065,False,False,0.0,0.0,0
11363.0,0.06260856618194452,False,False,0.0,0.0,0
753178.0,0.036056379969229245,False,False,0.0,0.0,0
39997.0,0.08499181100799047,False,False,0.0,0.0,0
1756668.0,0.018958757258424736,False,False,0.0,0.0,0
656543.0,0.076331331579731,False,False,0.0,0.0,0
155199.0,0.09330487865402749,False,False,0.0,0.0,0
405441.0,0.7885503002630404,False,False,0.0,0.0,0
1696606.0,0.01818948831207504,False,False,0.0,0.0,0
38475.0,0.10191572782768375,False,False,0.0,0.0,0
21756.0,0.035783413568911605,False,False,0.0,0.0,0
528176.0,0.07938359223782818,False,False,0.0,0.0,0
777492.0,0.16109980644200705,False,False,0.0,0.0,0
4380.0,0.7394411633331679,False,False,0.0,0.0,0
1516753.0,0.003449302694922825,False,False,0.0,0.0,0
1588780.0,0.019380614422551987,False,False,0.0,0.0,0
66356.0,0.04652836369050573,False,False,0.0,0.0,0
1653271.0,0.01962876569556802,False,False,0.0,0.0,0
1367.0,0.9999751848726984,True,True,1.8639695911162435,0.051094347114000696,2
550700.0,0.07662911310735024,False,False,0.0,0.0,0
1800201.0,0.01970321107747283,False,False,0.0,0.0,0
1805186.0,0.0186609757308055,False,False,0.0,0.0,0
1504925.0,0.0211176733336642,False,False,0.0,0.0,0
1737488.0,0.019777656459377638,False,False,0.0,0.0,0
1509561.0,0.005409697751749466,False,False,0.0,0.0,0
1553.0,0.9983870167253958,True,False,1.994038441420807,0.031142984763511836,1
1605613.0,0.007593428954290536,False,False,0.0,0.0,0
1616299.0,0.004119311132066108,False,False,0.0,0.0,0
1748994.0,0.0194798749317584,False,False,0.0,0.0,0
1618526.0,0.020000992605092065,False,False,0.0,0.0,0
10703.0,0.3060945952652737,False,False,0.0,0.0,0
1749753.0,0.019678395950171224,False,False,0.0,0.0,0
547843.0,0.18144821082932155,False,False,0.0,0.0,0
1776695.0,0.019033202640329545,False,False,0.0,0.0,0
1672.0,0.5578192466127351,False,False,0.0,0.0,0
175953.0,0.27147749267953747,False,False,0.0,0.0,0
271079.0,0.3032904858801926,False,False,0.0,0.0,0
483796.0,0.6473770410442206,False,False,0.0,0.0,0
659213.0,0.9627524939202938,True,False,1.6034287862278258,0.011390143431435804,1
381279.0,0.7457442056677751,False,False,0.0,0.0,0
1703379.0,0.019678395950171224,False,False,0.0,0.0,0
1637350.0,0.01915727827683756,False,False,0.0,0.0,0
10196.0,0.7709067447516006,False,False,0.0,0.0,0
1842991.0,0.568390490843218,False,False,0.0,0.0,0
32493.0,0.13295945208198917,False,False,0.0,0.0,0
335003.0,0.018785051367313513,False,False,0.0,0.0,0
218837.0,0.06915975978956772,False,False,0.0,0.0,0
11.0,1.0,False,False,1.56824799969143,0.0,0
1804743.0,0.019330984167948782,False,False,0.0,0.0,0
1799598.0,0.01801578242096382,False,False,0.0,0.0,0
195100.0,0.984242394163482,True,True,2.125561310127167,0.121718199414363,6
732496.0,0.08772147501116681,False,False,0.0,0.0,0
1553485.0,0.024641421410491835,False,False,0.0,0.0,0
682759.0,0.040225321355898555,False,False,0.0,0.0,0
129579.0,0.01647724452826443,False,False,0.0,0.0,0
1647111.0,0.03288004367462405,False,False,0.0,0.0,0
766771.0,0.09615861829371185,False,False,0.0,0.0,0
1750983.0,0.01980247158667924,False,False,0.0,0.0,0
68512.0,0.045089086307012756,False,False,0.0,0.0,0
20342.0,0.7409548860985656,False,False,0.0,0.0,0
118.0,0.996873293959998,True,False,0.859502232766611,0.011092361903816567,1
1771837.0,0.01851208496699588,False,False,0.0,0.0,0
