id_institution_subnet,ratio_active,has_drift,drift_in_test,max_rel_dev,drift_fraction,n_drift_events
458.0,0.9992557308722834,True,True,0.7185888910154806,0.0028282226853230128,1
544.0,0.9991068770467401,False,False,0.5941583261112154,0.0,0
91.0,0.9998511461744567,False,False,0.4327727035775676,0.0,0
350.0,0.9998511461744567,True,True,1.3207478774346753,0.01682048228639476,1
444.0,0.9998511461744567,True,True,0.7567549703398669,0.022030366180410838,2
265.0,0.9998511461744567,True,True,0.8784282685163619,0.012801428996725216,1
363.0,0.9998511461744567,True,True,0.7121019840759815,0.004167907115212861,1
461.0,0.9815421256326288,False,False,1.6695835534490895,0.0,0
281.0,0.9998511461744567,False,False,1.0597043080957658,0.0,0
177.0,0.9696338195891634,True,True,1.0,0.005209883894016076,1
26.0,0.9998511461744567,True,True,2.735033916427574,0.18517415897588568,3
537.0,0.9624888359630842,False,False,1.0687172741143836,0.0,0
284.0,0.9998511461744567,False,False,0.4769680358824306,0.0,0
191.0,0.9998511461744567,False,False,0.834620798270243,0.0,0
307.0,0.9998511461744567,True,False,0.6574982458029048,0.002977076510866329,1
368.0,0.9974694849657636,False,False,1.0538602890497573,0.0,0
119.0,0.9998511461744567,True,True,1.8204484888554817,0.08916344150044656,4
212.0,0.9994045846978268,False,False,0.4556912064216492,0.0,0
106.0,0.9998511461744567,False,False,0.3773665448572752,0.0,0
114.0,0.9998511461744567,False,False,0.9529975728769925,0.0,0
234.0,0.9998511461744567,True,False,0.6500398540150178,0.012057159869008634,1
56.0,0.4432866924679964,False,False,0.0,0.0,0
355.0,0.9998511461744567,False,False,0.5722994613872848,0.0,0
465.0,0.9998511461744567,True,True,0.9591544709190508,0.03959511759452218,3
206.0,0.9998511461744567,False,False,0.7352340668516917,0.0,0
325.0,0.9998511461744567,False,False,0.6181666989758797,0.0,0
46.0,0.5168204822863948,False,False,0.0,0.0,0
435.0,0.9985114617445668,True,False,1.3766545380782393,0.010866329264662102,1
27.0,0.9998511461744567,True,False,2.2473523491187883,0.05879726108961,5
448.0,0.9998511461744567,False,False,0.6911629331944326,0.0,0
88.0,0.9998511461744567,True,False,2.8578365727640156,0.08573980351295028,2
173.0,0.9998511461744567,False,False,0.5929497464458008,0.0,0
168.0,0.9998511461744567,False,False,0.537533864839157,0.0,0
278.0,0.9997022923489134,False,False,0.4242742472606517,0.0,0
547.0,0.9998511461744567,False,False,0.8298594703519909,0.0,0
462.0,0.9864543018755582,True,True,2.167915742876544,0.04331646323310509,4
75.0,0.9998511461744567,True,True,3.420964589745305,0.21598690086335218,6
178.0,0.9998511461744567,False,False,0.4488982974290314,0.0,0
243.0,0.9998511461744567,False,False,0.8255876849352187,0.0,0
34.0,0.9998511461744567,True,False,3.041226071167717,0.0253051503423638,1
417.0,0.9998511461744567,False,False,0.4577643789157262,0.0,0
84.0,0.9935992855016373,True,True,3.394396889479502,0.12310211372432271,5
127.0,0.39982137540934803,False,False,0.0,0.0,0
251.0,0.9998511461744567,True,True,0.9251534699568029,0.01979755879726109,1
394.0,0.9994045846978268,False,False,0.7957749724156149,0.0,0
296.0,0.9974694849657636,False,False,1.1317052965262255,0.0,0
378.0,0.9998511461744567,False,False,0.9063482457976365,0.0,0
199.0,0.9682941351592735,True,False,0.7414532757466379,0.028877642155403394,1
133.0,0.9977671926168502,True,True,0.967545072569597,0.009377791009228937,1
226.0,0.9997022923489134,False,False,0.45411683734468494,0.0,0
62.0,0.9997022923489134,True,True,3.1146907116426097,0.04361417088419172,3
45.0,0.9998511461744567,True,True,1.9385877938263125,0.01816016671628461,3
504.0,0.9840726406668652,False,False,0.9290130256339089,0.0,0
185.0,0.9985114617445668,True,False,0.45336308131698766,0.028877642155403394,1
351.0,0.33566537660017864,False,False,0.0,0.0,0
54.0,0.9989580232211968,True,False,3.2673932545404747,0.070556713307532,2
210.0,0.9998511461744567,False,False,1.1052517552009737,0.0,0
9.0,0.8761536171479607,False,False,0.0,0.0,0
30.0,0.9998511461744567,True,False,1.2109612410512731,0.018904435844001193,1
22.0,0.9997022923489134,True,True,0.7527292787520811,0.00848466805596904,1
200.0,0.9998511461744567,False,False,0.5693341347797365,0.0,0
237.0,0.9998511461744567,False,False,0.8559825870306433,0.0,0
197.0,0.9998511461744567,False,False,0.7347232786123694,0.0,0
78.0,0.9991068770467401,True,True,3.4086937098481758,0.4715689193212266,5
525.0,0.9998511461744567,False,False,0.27611824091976694,0.0,0
305.0,0.7896695445072939,False,False,0.0,0.0,0
432.0,0.9998511461744567,True,False,1.1721680012098472,0.007740398928252456,1
140.0,0.9718666269723132,True,False,2.648358989513127,0.041083655849955346,2
503.0,0.9976183387913069,True,False,3.0754479717791074,0.03691574873474248,1
53.0,0.9998511461744567,False,False,0.5583145351166822,0.0,0
446.0,0.9998511461744567,True,False,1.5549548390278596,0.010270913962488836,1
260.0,0.21643346233998215,False,False,0.0,0.0,0
438.0,0.9998511461744567,True,False,0.7040714495848296,0.00029770765108663293,1
418.0,0.9994045846978268,True,False,2.954271877538102,0.03661804108365585,1
534.0,0.9997022923489134,True,True,0.8598609867751777,0.009973206311402203,1
63.0,0.9994045846978268,True,True,1.1813798029662723,0.006698422149449241,1
297.0,0.9998511461744567,True,True,1.2566096408781449,0.0659422447156892,2
324.0,0.9998511461744567,True,True,0.552598402176806,0.0008931229532598987,1
187.0,0.9974694849657636,False,False,0.5389915665080192,0.0,0
186.0,0.9994045846978268,False,False,0.4734621902624467,0.0,0
66.0,0.9998511461744567,True,True,3.395723382150706,0.05016373920809765,2
