id_institution,ratio_active,has_drift,drift_in_test,max_rel_dev,drift_fraction,n_drift_events
47.0,0.9992557308722834,False,False,0.7154467353974548,0.0,0
147.0,0.9998511461744567,False,False,0.9063482457976365,0.0,0
18.0,0.991515331944031,True,True,0.8459074499761648,0.020690681750520988,2
160.0,0.9998511461744567,True,True,1.5779152856040835,0.015927359333134862,2
48.0,0.9998511461744567,False,False,0.5693341347797365,0.0,0
277.0,0.6664185769574278,False,False,0.0,0.0,0
61.0,0.9998511461744567,True,True,1.3238032020063994,0.013247990473355165,1
126.0,0.9998511461744567,False,False,0.5205542659844341,0.0,0
93.0,0.9998511461744567,False,False,0.9274313669020795,0.0,0
265.0,0.9904733551652277,False,False,0.9640806772424099,0.0,0
123.0,0.9998511461744567,True,True,0.551797693414911,0.006103006847275975,1
133.0,0.9998511461744567,False,False,0.7106397085710473,0.0,0
15.0,0.9998511461744567,True,True,1.468505024616597,0.00714498362607919,1
82.0,0.9997022923489134,True,False,0.9940917733939957,0.00759154510270914,1
208.0,0.9998511461744567,False,False,0.9729159472943829,0.0,0
9.0,0.9998511461744567,True,True,0.6451808420953487,0.004465614766299494,2
242.0,0.9995534385233701,True,True,2.29343646890909,0.06891932122655552,3
114.0,0.9986603155701101,False,False,0.9173171201172197,0.0,0
235.0,0.9998511461744567,False,False,0.7602630597903728,0.0,0
40.0,0.9998511461744567,False,False,0.834620798270243,0.0,0
151.0,0.9998511461744567,True,True,0.9851945679610082,0.02396546591247395,1
55.0,0.9998511461744567,False,False,0.6083567025034156,0.0,0
135.0,0.9998511461744567,True,False,1.0065983720076466,0.035129502828222685,1
243.0,0.9726108961000298,True,False,0.9999474481863654,0.12131586781780292,1
167.0,0.9998511461744567,False,False,0.7013425569230398,0.0,0
224.0,0.9997022923489134,False,False,0.7833974705816904,0.0,0
81.0,0.9998511461744567,True,True,0.8576139565244804,0.10464423935695147,2
68.0,0.9998511461744567,True,True,0.6736291964075326,0.002977076510866329,1
274.0,0.9998511461744567,True,False,1.2957104013664802,0.015331944030961596,1
197.0,0.9998511461744567,False,False,0.9678028396537065,0.0,0
201.0,0.9998511461744567,False,False,0.6911629331944326,0.0,0
238.0,0.9998511461744567,True,True,0.8182802708222917,0.013843405775528431,2
26.0,0.9998511461744567,True,True,1.8573673310113865,0.051205715986900865,2
139.0,0.9974694849657636,False,False,1.0538602890497573,0.0,0
154.0,0.9998511461744567,True,True,0.8858811771298983,0.0244120273891039,1
16.0,0.9998511461744567,False,False,0.5408491109468042,0.0,0
90.0,0.9998511461744567,True,True,0.8543459969957623,0.04346531705864841,2
263.0,0.9927061625483775,True,True,2.390787399132544,0.04078594819886871,3
237.0,0.9998511461744567,False,False,0.9953230246992999,0.0,0
266.0,0.9997022923489134,False,False,0.7080734244829919,0.0,0
77.0,0.9998511461744567,False,False,0.48809650494447754,0.0,0
6.0,0.9998511461744567,False,False,1.012083038847725,0.0,0
39.0,0.9998511461744567,True,True,0.9957628614675406,0.013247990473355165,1
169.0,0.9998511461744567,True,True,0.8492559298733787,0.013099136647811848,2
204.0,0.9998511461744567,False,False,3.048998077200531,0.0,0
203.0,0.9998511461744567,True,True,0.8302252429396613,0.030217326585293244,3
17.0,0.9998511461744567,True,False,0.7025750930690011,0.011461744566835368,1
283.0,0.349955343852337,False,False,0.0,0.0,0
209.0,0.9992557308722834,True,True,0.7186153664682379,0.0028282226853230128,1
129.0,0.9998511461744567,False,False,0.7944686226334343,0.0,0
23.0,0.9998511461744567,False,False,0.6058822218660447,0.0,0
53.0,0.9998511461744567,True,True,0.6219592042504248,0.010270913962488836,2
125.0,0.9997022923489134,False,False,0.5092433424719887,0.0,0
207.0,0.9998511461744567,False,False,0.9111063424587609,0.0,0
107.0,0.9998511461744567,True,True,0.9919544395947087,0.017118189937481394,1
109.0,0.9998511461744567,False,False,0.4919705898507944,0.0,0
162.0,0.9998511461744567,True,True,1.0164846319358045,0.008335814230425722,1
87.0,0.9998511461744567,True,False,2.122471198114725,0.035129502828222685,2
113.0,0.9998511461744567,False,False,0.4990299893693644,0.0,0
272.0,0.9624888359630842,False,False,1.0687172741143836,0.0,0
116.0,0.9998511461744567,False,False,0.6629999819546356,0.0,0
46.0,0.9998511461744567,False,False,0.7347232786123694,0.0,0
143.0,0.9998511461744567,False,False,0.6272669757600117,0.0,0
273.0,0.9998511461744567,True,False,1.6078062707629097,0.03408752604941947,1
165.0,0.9991068770467401,True,False,0.6610272009262258,0.0017862459065197975,1
72.0,0.997171777314677,False,False,0.979327911382083,0.0,0
96.0,0.9998511461744567,False,False,0.7884676506927366,0.0,0
111.0,0.9994045846978268,False,False,0.5436233303075312,0.0,0
177.0,0.9998511461744567,True,True,1.658994327671994,0.05715986900863352,3
239.0,0.9980649002679369,False,False,0.8026743887657516,0.0,0
185.0,0.9998511461744567,True,True,0.91162737736154,0.054927061625483775,3
215.0,0.9998511461744567,True,True,0.9527361385400439,0.027984519202143496,2
124.0,0.9998511461744567,False,False,0.9073950643548662,0.0,0
140.0,0.6851741589758856,False,False,0.0,0.0,0
1.0,0.9998511461744567,False,False,0.8574297287407759,0.0,0
88.0,0.9998511461744567,False,False,0.978362429916395,0.0,0
78.0,0.9998511461744567,False,False,0.633474583261015,0.0,0
3.0,0.9998511461744567,True,False,0.5745101541508045,0.008931229532598988,1
86.0,0.9992557308722834,False,False,0.6356382623284528,0.0,0
115.0,0.9998511461744567,True,True,1.0101795073578579,0.02857993450431676,2
193.0,0.9998511461744567,False,False,0.7381047040403438,0.0,0
